Customers,Depot location,Instance,Beta,Trucks,CPU time (s),Objective value,Best-bound,Gap
10,Center,1,0.5,2,7.6,145,145,0.0%
10,Center,2,0.5,2,8.4,170,170,0.0%
10,Center,3,0.5,2,10.0,146,146,0.0%
10,Center,4,0.5,2,7.4,168,168,0.0%
10,Center,5,0.5,2,5.4,133,133,0.0%
10,Center,1,1.0,2,17.5,192,192,0.0%
10,Center,2,1.0,2,5.2,226,226,0.0%
10,Center,3,1.0,2,19.8,211,211,0.0%
10,Center,4,1.0,2,3.4,249,249,0.0%
10,Center,5,1.0,2,0.7,185,185,0.0%
10,Center,1,1.5,2,0.3,260,260,0.0%
10,Center,2,1.5,2,0.7,205,205,0.0%
10,Center,3,1.5,2,0.4,258,258,0.0%
10,Center,4,1.5,2,26.6,375,375,0.0%
10,Center,5,1.5,2,0.4,285,285,0.0%
10,Border,1,0.5,2,2.5,171,171,0.0%
10,Border,2,0.5,2,7.2,193,193,0.0%
10,Border,3,0.5,2,9.3,178,178,0.0%
10,Border,4,0.5,2,8.4,183,183,0.0%
10,Border,5,0.5,2,5.3,153,153,0.0%
10,Border,1,1.0,2,5.2,211,211,0.0%
10,Border,2,1.0,2,4.8,243,243,0.0%
10,Border,3,1.0,2,2.0,236,236,0.0%
10,Border,4,1.0,2,8.3,284,284,0.0%
10,Border,5,1.0,2,5.2,192,192,0.0%
10,Border,1,1.5,2,0.3,300,300,0.0%
10,Border,2,1.5,2,0.3,245,245,0.0%
10,Border,3,1.5,2,0.4,298,298,0.0%
10,Border,4,1.5,2,16.2,390,390,0.0%
10,Border,5,1.5,2,0.3,325,325,0.0%
10,Outside,1,0.5,2,3.7,211,211,0.0%
10,Outside,2,0.5,2,11.3,233,233,0.0%
10,Outside,3,0.5,2,13.1,218,218,0.0%
10,Outside,4,0.5,2,11.0,223,223,0.0%
10,Outside,5,0.5,2,4.9,193,193,0.0%
10,Outside,1,1.0,2,6.3,251,251,0.0%
10,Outside,2,1.0,2,3.6,283,283,0.0%
10,Outside,3,1.0,2,1.3,276,276,0.0%
10,Outside,4,1.0,2,9.6,324,324,0.0%
10,Outside,5,1.0,2,5.3,232,232,0.0%
10,Outside,1,1.5,2,0.2,340,340,0.0%
10,Outside,2,1.5,2,0.4,285,285,0.0%
10,Outside,3,1.5,2,0.4,338,338,0.0%
10,Outside,4,1.5,2,15.3,430,430,0.0%
10,Outside,5,1.5,2,0.2,365,365,0.0%
15,Center,1,0.5,2,3613.0,209,170,18.4%
15,Center,2,0.5,2,3608.6,170,143,15.9%
15,Center,3,0.5,2,3608.8,196,160,18.4%
15,Center,4,0.5,2,3600.8,175,161,8.1%
15,Center,5,0.5,2,3600.5,168,140,16.7%
15,Center,1,1.0,2,3606.5,274,259,5.5%
15,Center,2,1.0,2,3608.0,251,231,7.9%
15,Center,3,1.0,2,3609.2,279,238,14.7%
15,Center,4,1.0,2,3601.2,222,214,3.6%
15,Center,5,1.0,2,3601.6,197,191,3.0%
15,Center,1,1.5,2,29.3,325,325,0.0%
15,Center,2,1.5,2,3605.1,303,285,5.9%
15,Center,3,1.5,2,3607.2,327,310,5.2%
15,Center,4,1.5,2,20.3,315,315,0.0%
15,Center,5,1.5,2,85.0,282,282,0.0%
15,Border,1,0.5,2,3607.0,226,209,7.5%
15,Border,2,0.5,2,3606.2,190,173,8.9%
15,Border,3,0.5,2,3606.5,211,182,13.7%
15,Border,4,0.5,2,3607.4,204,189,7.4%
15,Border,5,0.5,2,3610.6,178,144,19.1%
15,Border,1,1.0,2,3606.5,278,261,6.1%
15,Border,2,1.0,2,3600.5,279,269,3.6%
15,Border,3,1.0,2,3606.9,286,267,6.6%
15,Border,4,1.0,2,21.1,254,254,0.0%
15,Border,5,1.0,2,3607.2,206,188,8.7%
15,Border,1,1.5,2,12.0,365,365,0.0%
15,Border,2,1.5,2,3601.4,324,321,0.9%
15,Border,3,1.5,2,10.1,350,350,0.0%
15,Border,4,1.5,2,6.0,355,355,0.0%
15,Border,5,1.5,2,3600.6,281,278,1.1%
15,Outside,1,0.5,2,3606.9,262,249,5.0%
15,Outside,2,0.5,2,3611.0,230,213,7.4%
15,Outside,3,0.5,2,3605.9,251,222,11.6%
15,Outside,4,0.5,2,3607.1,244,229,6.1%
15,Outside,5,0.5,2,3606.7,218,184,15.5%
15,Outside,1,1.0,2,3607.9,318,301,5.3%
15,Outside,2,1.0,2,3601.1,319,309,3.1%
15,Outside,3,1.0,2,3607.3,326,307,5.8%
15,Outside,4,1.0,2,7.7,294,294,0.0%
15,Outside,5,1.0,2,3607.5,252,228,9.5%
15,Outside,1,1.5,2,2.4,405,405,0.0%
15,Outside,2,1.5,2,3600.3,362,361,0.3%
15,Outside,3,1.5,2,11.2,390,390,0.0%
15,Outside,4,1.5,2,7.5,395,395,0.0%
15,Outside,5,1.5,2,3600.6,322,318,1.2%
20,Center,1,0.5,2,3615.7,190,153,19.5%
20,Center,2,0.5,2,3617.0,208,156,25.0%
20,Center,3,0.5,2,3610.2,216,180,16.7%
20,Center,4,0.5,2,3609.3,214,155,27.6%
20,Center,5,0.5,2,3609.4,200,165,17.5%
20,Center,1,1.0,2,3614.4,287,225,21.6%
20,Center,2,1.0,2,3600.7,285,277,2.8%
20,Center,3,1.0,2,3605.0,332,281,15.4%
20,Center,4,1.0,2,3605.5,281,243,13.5%
20,Center,5,1.0,2,3611.3,258,238,7.8%
20,Center,1,1.5,2,3607.5,363,326,10.2%
20,Center,2,1.5,2,3608.8,334,296,11.4%
20,Center,3,1.5,2,3608.2,374,355,5.1%
20,Center,4,1.5,2,3610.0,385,366,4.9%
20,Center,5,1.5,2,3610.7,342,325,5.0%
20,Border,1,0.5,2,3600.8,231,193,16.5%
20,Border,2,0.5,2,3611.3,213,196,8.0%
20,Border,3,0.5,2,3606.8,230,200,13.0%
20,Border,4,0.5,2,3611.6,253,195,22.9%
20,Border,5,0.5,2,3617.5,206,159,22.8%
20,Border,1,1.0,2,3615.1,302,265,12.3%
20,Border,2,1.0,2,3602.1,318,317,0.3%
20,Border,3,1.0,2,3610.2,351,314,10.5%
20,Border,4,1.0,2,3610.4,302,283,6.3%
20,Border,5,1.0,2,3625.3,282,274,2.8%
20,Border,1,1.5,2,3612.9,371,366,1.3%
20,Border,2,1.5,2,3608.6,346,329,4.9%
20,Border,3,1.5,2,3634.8,398,395,0.8%
20,Border,4,1.5,2,3619.3,413,406,1.7%
20,Border,5,1.5,2,3609.2,361,344,4.7%
20,Outside,1,0.5,2,3609.5,274,233,15.0%
20,Outside,2,0.5,2,3612.5,254,236,7.1%
20,Outside,3,0.5,2,3610.7,267,240,10.1%
20,Outside,4,0.5,2,3612.2,275,235,14.5%
20,Outside,5,0.5,2,3615.2,257,199,22.6%
20,Outside,1,1.0,2,3608.7,346,305,11.8%
20,Outside,2,1.0,2,3619.3,358,357,0.3%
20,Outside,3,1.0,2,3615.8,386,354,8.3%
