Customers,Depot location,Instance,Beta,Drone capacity,Trucks,Drones,TB (s),Objective value,Relative difference with MILP objective value,Relative difference with initial solution,Relative difference with best matheuristic solution at minute 10,Relative difference with best matheuristic solution at minute 20,Relative difference with best matheuristic solution at minute 30,Relative difference with best matheuristic solution at minute 40,Relative difference with best matheuristic solution at minute 50
15,Center,1,0.5,2,2,2,1587.1,209,0.0%,12.9%,1.0%,1.0%,0.0%,0.0%,0.0%
15,Center,2,0.5,2,2,2,969.1,169,-0.6%,6.5%,0.6%,0.0%,0.0%,0.0%,0.0%
15,Center,3,0.5,2,2,2,3262.3,196,0.0%,13.8%,2.0%,2.0%,2.0%,2.0%,2.0%
15,Center,4,0.5,2,2,2,6.2,175,0.0%,5.7%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Center,5,0.5,2,2,2,1990.2,170,1.2%,4.7%,1.2%,1.2%,1.2%,0.0%,0.0%
15,Center,1,1.0,2,2,2,831.7,274,0.0%,6.2%,0.4%,0.0%,0.0%,0.0%,0.0%
15,Center,2,1.0,2,2,2,1049.2,251,0.0%,25.5%,0.4%,0.0%,0.0%,0.0%,0.0%
15,Center,3,1.0,2,2,2,38.2,281,0.7%,5.7%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Center,4,1.0,2,2,2,2659.9,233,4.7%,15.0%,2.1%,1.3%,1.3%,1.3%,0.0%
15,Center,5,1.0,2,2,2,2481.6,197,0.0%,29.9%,1.5%,1.0%,1.0%,0.5%,0.0%
15,Center,1,1.5,2,2,2,86.4,325,0.0%,23.4%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Center,2,1.5,2,2,2,1011.2,302,-0.3%,24.5%,2.3%,0.0%,0.0%,0.0%,0.0%
15,Center,3,1.5,2,2,2,16.1,327,0.0%,7.3%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Center,4,1.5,2,2,2,63.2,315,0.0%,3.2%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Center,5,1.5,2,2,2,1128.7,286,1.4%,13.6%,0.3%,0.0%,0.0%,0.0%,0.0%
15,Border,1,0.5,2,2,2,12.0,222,-1.8%,18.9%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,2,0.5,2,2,2,8.0,190,0.0%,14.7%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,3,0.5,2,2,2,33.7,204,-3.4%,21.1%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,4,0.5,2,2,2,0.9,204,0.0%,13.2%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,5,0.5,2,2,2,116.1,178,0.0%,18.5%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,1,1.0,2,2,2,227.8,278,0.0%,6.5%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,2,1.0,2,2,2,18.7,279,0.0%,14.7%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,3,1.0,2,2,2,88.4,284,-0.7%,16.5%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,4,1.0,2,2,2,11.3,254,0.0%,19.3%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,5,1.0,2,2,2,5.9,206,0.0%,31.1%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,1,1.5,2,2,2,2.9,365,0.0%,7.1%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,2,1.5,2,2,2,170.1,322,-0.6%,27.3%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,3,1.5,2,2,2,20.3,350,0.0%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,4,1.5,2,2,2,2.6,355,0.0%,1.7%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,5,1.5,2,2,2,335.8,281,0.0%,24.6%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,1,0.5,2,2,2,91.5,262,0.0%,16.0%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,2,0.5,2,2,2,102.8,230,0.0%,12.2%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,3,0.5,2,2,2,390.8,244,-2.9%,17.6%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,4,0.5,2,2,2,2676.5,245,0.4%,10.6%,0.4%,0.4%,0.4%,0.4%,0.0%
15,Outside,5,0.5,2,2,2,3141.1,218,0.0%,15.1%,5.0%,4.6%,4.6%,3.2%,3.2%
15,Outside,1,1.0,2,2,2,584.8,321,0.9%,4.7%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,2,1.0,2,2,2,1716.4,319,0.0%,12.9%,1.9%,1.9%,0.0%,0.0%,0.0%
15,Outside,3,1.0,2,2,2,73.8,327,0.3%,13.5%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,4,1.0,2,2,2,296.0,294,0.0%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,5,1.0,2,2,2,1026.6,246,-2.4%,22.0%,0.4%,0.0%,0.0%,0.0%,0.0%
15,Outside,1,1.5,2,2,2,154.9,405,0.0%,6.4%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,2,1.5,2,2,2,1141.7,362,0.0%,23.5%,1.1%,0.0%,0.0%,0.0%,0.0%
15,Outside,3,1.5,2,2,2,274.9,390,0.0%,17.9%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,4,1.5,2,2,2,65.6,395,0.0%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,5,1.5,2,2,2,667.9,324,0.6%,20.4%,0.9%,0.0%,0.0%,0.0%,0.0%
20,Center,1,0.5,2,2,2,1190.6,191,0.5%,14.1%,4.7%,0.0%,0.0%,0.0%,0.0%
20,Center,2,0.5,2,2,2,662.8,212,1.9%,18.9%,3.3%,0.0%,0.0%,0.0%,0.0%
20,Center,3,0.5,2,2,2,208.0,212,-1.9%,14.2%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Center,4,0.5,2,2,2,2708.4,210,-1.9%,3.8%,2.9%,2.9%,2.9%,2.9%,0.0%
20,Center,5,0.5,2,2,2,1985.3,192,-4.2%,22.9%,9.9%,7.8%,7.8%,0.0%,0.0%
20,Center,1,1.0,2,2,2,1702.2,274,-4.7%,10.6%,1.1%,1.1%,0.0%,0.0%,0.0%
20,Center,2,1.0,2,2,2,1076.9,293,2.7%,5.5%,1.7%,0.0%,0.0%,0.0%,0.0%
20,Center,3,1.0,2,2,2,1912.9,311,-6.8%,12.9%,1.6%,1.3%,1.3%,0.0%,0.0%
20,Center,4,1.0,2,2,2,2647.5,282,0.4%,8.2%,0.4%,0.4%,0.4%,0.4%,0.0%
20,Center,5,1.0,2,2,2,2024.3,270,4.4%,22.2%,2.2%,2.2%,1.5%,0.0%,0.0%
20,Center,1,1.5,2,2,2,44.8,360,-0.8%,3.1%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Center,2,1.5,2,2,2,719.3,332,-0.6%,23.2%,0.3%,0.0%,0.0%,0.0%,0.0%
20,Center,3,1.5,2,2,2,1052.5,374,0.0%,4.3%,0.3%,0.0%,0.0%,0.0%,0.0%
20,Center,4,1.5,2,2,2,1399.1,377,-2.1%,24.4%,1.9%,1.9%,0.0%,0.0%,0.0%
20,Center,5,1.5,2,2,2,1594.9,342,0.0%,12.0%,0.9%,0.9%,0.0%,0.0%,0.0%
20,Border,1,0.5,2,2,2,1279.7,220,-5.0%,17.3%,0.5%,0.5%,0.0%,0.0%,0.0%
20,Border,2,0.5,2,2,2,815.8,213,0.0%,16.0%,2.3%,0.0%,0.0%,0.0%,0.0%
20,Border,3,0.5,2,2,2,371.2,236,2.5%,14.0%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Border,4,0.5,2,2,2,1043.7,226,-11.9%,16.4%,3.5%,0.0%,0.0%,0.0%,0.0%
20,Border,5,0.5,2,2,2,1925.1,206,0.0%,18.4%,6.3%,5.3%,5.3%,0.0%,0.0%
20,Border,1,1.0,2,2,2,496.3,292,-3.4%,4.1%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Border,2,1.0,2,2,2,1566.1,321,0.9%,14.3%,2.8%,0.6%,0.0%,0.0%,0.0%
20,Border,3,1.0,2,2,2,2841.6,333,-5.4%,27.6%,3.9%,1.2%,1.2%,1.2%,0.0%
20,Border,4,1.0,2,2,2,1008.4,292,-3.4%,23.3%,3.8%,0.0%,0.0%,0.0%,0.0%
20,Border,5,1.0,2,2,2,2342.3,286,1.4%,6.6%,5.2%,4.2%,0.7%,0.0%,0.0%
20,Border,1,1.5,2,2,2,798.6,374,0.8%,19.5%,1.1%,0.0%,0.0%,0.0%,0.0%
20,Border,2,1.5,2,2,2,249.8,345,-0.3%,13.3%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Border,3,1.5,2,2,2,121.3,398,0.0%,18.6%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Border,4,1.5,2,2,2,880.9,412,-0.2%,20.6%,1.7%,0.0%,0.0%,0.0%,0.0%
20,Border,5,1.5,2,2,2,2582.6,356,-1.4%,4.2%,1.1%,1.1%,1.1%,1.1%,0.0%
20,Outside,1,0.5,2,2,2,1577.2,259,-5.8%,26.3%,0.8%,0.8%,0.0%,0.0%,0.0%
20,Outside,2,0.5,2,2,2,379.5,253,-0.4%,14.6%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Outside,3,0.5,2,2,2,1218.7,278,4.0%,11.2%,1.1%,1.1%,0.0%,0.0%,0.0%
20,Outside,4,0.5,2,2,2,1474.7,267,-3.0%,10.9%,3.0%,0.4%,0.0%,0.0%,0.0%
20,Outside,5,0.5,2,2,2,1633.0,257,0.0%,10.5%,2.3%,0.8%,0.0%,0.0%,0.0%
20,Outside,1,1.0,2,2,2,1543.2,338,-2.4%,1.8%,1.8%,1.8%,0.0%,0.0%,0.0%
20,Outside,2,1.0,2,2,2,1348.7,365,1.9%,11.5%,0.3%,0.3%,0.0%,0.0%,0.0%
20,Outside,3,1.0,2,2,2,2037.0,372,-3.8%,26.3%,3.5%,2.4%,2.4%,0.0%,0.0%
20,Outside,4,1.0,2,2,2,584.7,341,2.9%,18.5%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Outside,5,1.0,2,2,2,2005.8,327,1.5%,5.5%,4.3%,4.3%,1.8%,0.0%,0.0%
20,Outside,1,1.5,2,2,2,510.5,422,2.6%,15.4%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Outside,2,1.5,2,2,2,805.1,396,-3.5%,7.1%,1.0%,0.0%,0.0%,0.0%,0.0%
20,Outside,3,1.5,2,2,2,451.7,438,0.2%,16.9%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Outside,4,1.5,2,2,2,896.0,455,-2.0%,18.0%,2.0%,0.0%,0.0%,0.0%,0.0%
20,Outside,5,1.5,2,2,2,1240.2,403,1.7%,2.0%,1.5%,1.5%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,
