Customers,Depot location,Instance,Beta,Trucks,Objective value,Total truck returns,Total orders collected via depot return,Percentage of orders before departing the depot,Percentage of orders via depot return,TB(s),Relative difference with initial solution,Relative difference with best matheuristic solution at minute 10,Relative difference with best matheuristic solution at minute 20,Relative difference with best matheuristic solution at minute 30,Relative difference with best matheuristic solution at minute 40,Relative difference with best matheuristic solution at minute 50
30,Outside,1,0.5,2,330,6,4.7,7%,93%,564.5,22.1%,0.0%,0.0%,0.0%,0.0%,0.0%
30,Outside,2,0.5,2,280,9,2.8,17%,83%,968.8,18.2%,3.6%,0.0%,0.0%,0.0%,0.0%
30,Outside,3,0.5,2,293,5,4.6,23%,77%,2166.4,14.7%,7.8%,2.7%,2.7%,0.0%,0.0%
30,Outside,4,0.5,2,315,5,5.0,17%,83%,2311.5,16.8%,4.1%,4.1%,0.3%,0.0%,0.0%
30,Outside,5,0.5,2,324,7,4.0,7%,93%,1721.5,24.4%,0.9%,0.9%,0.0%,0.0%,0.0%
30,Outside,6,0.5,2,307,6,3.5,30%,70%,1402.6,22.1%,2.9%,2.9%,0.0%,0.0%,0.0%
30,Outside,7,0.5,2,311,5,4.8,20%,80%,544.7,4.8%,0.0%,0.0%,0.0%,0.0%,0.0%
30,Outside,8,0.5,2,327,6,3.7,27%,73%,2385.6,14.4%,1.8%,1.8%,1.8%,0.0%,0.0%
30,Outside,9,0.5,2,310,5,5.0,17%,83%,1098.1,13.9%,5.2%,0.0%,0.0%,0.0%,0.0%
30,Outside,10,0.5,2,300,5,4.0,33%,67%,911.8,25.7%,4.0%,0.0%,0.0%,0.0%,0.0%
30,Outside,1,1.0,2,397,8,3.3,13%,87%,2075.3,3.0%,2.0%,2.0%,2.0%,0.0%,0.0%
30,Outside,2,1.0,2,391,6,3.5,30%,70%,2495.9,14.6%,2.6%,1.5%,1.5%,0.8%,0.0%
30,Outside,3,1.0,2,359,10,2.2,27%,73%,786.5,18.4%,7.0%,0.0%,0.0%,0.0%,0.0%
30,Outside,4,1.0,2,412,8,3.1,17%,83%,16.5,4.9%,0.0%,0.0%,0.0%,0.0%,0.0%
30,Outside,5,1.0,2,397,7,3.6,17%,83%,2397.1,21.4%,5.3%,4.8%,0.8%,0.0%,0.0%
30,Outside,6,1.0,2,413,9,2.8,17%,83%,184.2,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%
