Customers,Depot location,Instance,Beta,Drone capacity,Trucks,Drones,Objective value,Total drone sorties,Total truck returns,Total orders resupplied,Total orders collected via depot return,TB(s),Relative difference with initial solution,Relative difference with best matheuristic solution at minute 10,Relative difference with best matheuristic solution at minute 20,Relative difference with best matheuristic solution at minute 30,Relative difference with best matheuristic solution at minute 40,Relative difference with best matheuristic solution at minute 50
30,Outside,1,0.5,10,2,2,302,7,0,4.1,,3114.7,21.9%,1.3%,1.3%,0.7%,0.7%,0.3%
30,Outside,2,0.5,10,2,2,271,7,0,3.9,,617.5,12.5%,1.1%,0.0%,0.0%,0.0%,0.0%
30,Outside,3,0.5,10,2,2,279,5,1,5.0,2.0,1162.2,12.2%,0.7%,0.0%,0.0%,0.0%,0.0%
30,Outside,4,0.5,10,2,2,296,6,1,4.3,3.0,1941.7,13.5%,4.1%,4.1%,1.4%,0.0%,0.0%
30,Outside,5,0.5,10,2,2,307,4,1,5.0,7.0,444.4,19.5%,0.0%,0.0%,0.0%,0.0%,0.0%
30,Outside,6,0.5,10,2,2,290,5,1,4.0,6.0,627.2,19.0%,0.7%,0.0%,0.0%,0.0%,0.0%
30,Outside,7,0.5,10,2,2,290,4,1,5.5,5.0,127.7,3.8%,0.0%,0.0%,0.0%,0.0%,0.0%
30,Outside,8,0.5,10,2,2,300,5,0,5.0,,861.1,10.3%,3.3%,0.0%,0.0%,0.0%,0.0%
30,Outside,9,0.5,10,2,2,297,5,1,5.4,3.0,3042.6,7.7%,0.3%,0.3%,0.3%,0.3%,0.3%
30,Outside,10,0.5,10,2,2,274,6,1,4.3,1.0,1792.7,23.7%,5.1%,5.1%,0.0%,0.0%,0.0%
30,Outside,1,1.0,10,2,2,372,9,1,3.0,3.0,3300.1,3.2%,1.3%,1.3%,1.3%,1.3%,1.3%
30,Outside,2,1.0,10,2,2,355,7,2,3.1,2.0,2538.8,15.5%,4.5%,4.5%,4.5%,1.7%,0.0%
30,Outside,3,1.0,10,2,2,344,7,1,3.4,1.0,3223.5,15.1%,5.8%,5.8%,5.8%,5.8%,1.2%
30,Outside,4,1.0,10,2,2,386,7,2,3.4,2.0,350.4,2.6%,0.0%,0.0%,0.0%,0.0%,0.0%
30,Outside,5,1.0,10,2,2,387,10,2,2.7,1.5,2140.2,17.1%,0.5%,0.5%,0.5%,0.0%,0.0%
30,Outside,6,1.0,10,2,2,376,8,3,2.8,2.0,1989.5,12.2%,1.9%,0.3%,0.3%,0.0%,0.0%
30,Outside,7,1.0,10,2,2,400,8,0,3.4,,1363.5,8.0%,0.5%,0.5%,0.0%,0.0%,0.0%
30,Outside,8,1.0,10,2,2,379,8,2,3.0,1.5,1635.5,9.2%,1.3%,1.1%,0.0%,0.0%,0.0%
30,Outside,9,1.0,10,2,2,389,9,3,2.8,1.7,2398.7,12.6%,0.3%,0.3%,0.3%,0.0%,0.0%
30,Outside,10,1.0,10,2,2,372,6,1,4.5,1.0,2573.4,13.2%,1.1%,1.1%,1.1%,1.1%,0.0%
30,Outside,1,1.5,10,2,2,478,10,3,2.3,1.7,3540.2,4.6%,4.6%,4.6%,4.6%,4.0%,1.5%
30,Outside,2,1.5,10,2,2,435,9,2,2.8,2.0,80.0,7.8%,0.0%,0.0%,0.0%,0.0%,0.0%
30,Outside,3,1.5,10,2,2,447,8,1,2.3,4.0,59.4,5.4%,0.0%,0.0%,0.0%,0.0%,0.0%
30,Outside,4,1.5,10,2,2,464,11,3,2.4,1.0,43.6,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%
30,Outside,5,1.5,10,2,2,466,10,4,2.0,1.8,236.6,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%
30,Outside,6,1.5,10,2,2,482,6,0,4.0,,190.9,3.7%,0.0%,0.0%,0.0%,0.0%,0.0%
30,Outside,7,1.5,10,2,2,481,9,1,3.0,1.0,2271.2,18.1%,1.7%,0.8%,0.8%,0.0%,0.0%
30,Outside,8,1.5,10,2,2,481,10,2,2.5,1.5,56.6,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%
30,Outside,9,1.5,10,2,2,488,11,4,2.2,1.3,1704.3,16.6%,3.5%,3.5%,0.0%,0.0%,0.0%
30,Outside,10,1.5,10,2,2,465,11,4,1.9,1.5,1461.3,15.9%,3.2%,3.2%,0.0%,0.0%,0.0%
40,Outside,1,0.5,10,2,2,327,6,0,6.2,,411.6,8.0%,0.0%,0.0%,0.0%,0.0%,0.0%
40,Outside,2,0.5,10,2,2,336,5,2,6.4,4.0,202.0,6.0%,0.0%,0.0%,0.0%,0.0%,0.0%
40,Outside,3,0.5,10,2,2,343,6,0,6.5,,2352.8,12.8%,8.5%,8.5%,8.5%,0.0%,0.0%
40,Outside,4,0.5,10,2,2,336,5,2,5.8,4.5,287.7,10.7%,0.0%,0.0%,0.0%,0.0%,0.0%
40,Outside,5,0.5,10,2,2,318,7,1,4.1,11.0,1959.7,10.1%,6.3%,1.9%,1.9%,0.0%,0.0%
40,Outside,6,0.5,10,2,2,350,6,1,6.0,1.0,2524.5,5.1%,0.3%,0.3%,0.3%,0.3%,0.0%
40,Outside,7,0.5,10,2,2,331,5,1,6.6,6.0,2191.9,16.0%,5.7%,1.8%,0.9%,0.0%,0.0%
40,Outside,8,0.5,10,2,2,354,7,1,5.0,3.0,2176.3,7.1%,3.7%,2.5%,2.5%,0.0%,0.0%
40,Outside,9,0.5,10,2,2,346,5,1,6.8,4.0,3141.5,11.6%,4.9%,3.2%,0.6%,0.6%,0.6%
40,Outside,10,0.5,10,2,2,360,6,0,6.2,,2264.4,5.8%,4.4%,0.3%,0.3%,0.0%,0.0%
40,Outside,1,1.0,10,2,2,415,8,2,4.6,1.5,57.6,4.1%,0.0%,0.0%,0.0%,0.0%,0.0%
40,Outside,2,1.0,10,2,2,425,9,5,2.6,3.2,245.7,3.5%,0.0%,0.0%,0.0%,0.0%,0.0%
40,Outside,3,1.0,10,2,2,466,9,2,3.8,2.5,602.0,9.4%,0.0%,0.0%,0.0%,0.0%,0.0%
40,Outside,4,1.0,10,2,2,419,10,3,2.8,3.7,3531.7,20.0%,7.4%,5.0%,4.8%,1.7%,1.7%
