Customers,Depot location,Instance,Beta,Drone capacity,Trucks,Objective value,Minimum number of drones required,Total drone sorties,Total orders resupplied,Percentage of orders loaded before departing the depot,Percentage of orders resupplied by drones,TB(s),Relative differnce with initial solution,Relative difference with best matheuristic solution at minute 10,Relative difference with best matheuristic solution at minute 20,Relative difference with best matheuristic solution at minute 30,Relative difference with best matheuristic solution at minute 40,Relative difference with best matheuristic solution at minute 50
50,Outside,1,1.0,10,2,464,3,12,4.1,2%,98%,588.9,13.8%,0.0%,0.0%,0.0%,0.0%,0.0%
50,Outside,2,1.0,10,2,451,3,12,4.1,4%,96%,586.1,16.0%,0.0%,0.0%,0.0%,0.0%,0.0%
50,Outside,3,1.0,10,2,489,2,12,4.1,4%,96%,156.1,10.0%,0.0%,0.0%,0.0%,0.0%,0.0%
50,Outside,4,1.0,10,2,461,4,17,3.3,0%,100%,6.9,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%
50,Outside,5,1.0,10,2,466,3,12,4.3,6%,94%,1521.7,19.5%,5.8%,4.3%,0.0%,0.0%,0.0%
50,Outside,6,1.0,10,2,494,3,14,3.4,4%,96%,3323.0,3.4%,3.4%,3.4%,2.2%,2.2%,1.2%
50,Outside,7,1.0,10,2,489,3,14,3.5,6%,94%,1918.3,9.8%,2.0%,1.8%,1.6%,0.0%,0.0%
50,Outside,8,1.0,10,2,496,3,12,3.7,6%,94%,1.3,2.4%,0.0%,0.0%,0.0%,0.0%,0.0%
50,Outside,9,1.0,10,2,480,4,12,4.3,4%,96%,588.8,19.4%,0.0%,0.0%,0.0%,0.0%,0.0%
50,Outside,10,1.0,10,2,414,4,12,4.5,0%,100%,2711.9,11.6%,0.5%,0.5%,0.5%,0.5%,0.0%
75,Outside,1,1.0,10,2,602,4,15,4.7,3%,97%,61.1,4.2%,0.0%,0.0%,0.0%,0.0%,0.0%
75,Outside,2,1.0,10,2,623,4,14,5.3,4%,96%,1311.3,2.6%,0.2%,0.2%,0.0%,0.0%,0.0%
75,Outside,3,1.0,10,2,664,3,13,5.6,5%,95%,34.2,6.3%,0.0%,0.0%,0.0%,0.0%,0.0%
75,Outside,4,1.0,10,2,604,3,13,6.1,0%,100%,854.7,10.3%,0.2%,0.0%,0.0%,0.0%,0.0%
75,Outside,5,1.0,10,2,571,4,16,4.5,0%,100%,99.9,6.0%,0.0%,0.0%,0.0%,0.0%,0.0%
75,Outside,6,1.0,10,2,623,3,14,5.2,1%,99%,3248.5,15.1%,1.1%,1.1%,1.1%,1.0%,0.5%
75,Outside,7,1.0,10,2,610,3,15,4.9,0%,100%,2498.9,14.3%,4.1%,1.1%,1.1%,1.1%,0.0%
75,Outside,8,1.0,10,2,625,3,11,6.2,9%,91%,61.2,5.4%,0.0%,0.0%,0.0%,0.0%,0.0%
75,Outside,9,1.0,10,2,580,4,17,4.7,1%,99%,2431.6,13.3%,6.7%,6.7%,4.8%,1.6%,0.0%
75,Outside,10,1.0,10,2,626,3,12,6.1,8%,92%,7.6,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%
100,Outside,1,1.0,10,2,770,4,16,5.8,0%,100%,67.5,5.1%,0.0%,0.0%,0.0%,0.0%,0.0%
100,Outside,2,1.0,10,2,728,3,14,7.2,5%,95%,269.4,9.8%,0.0%,0.0%,0.0%,0.0%,0.0%
100,Outside,3,1.0,10,2,722,3,14,7.2,0%,100%,47.6,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
100,Outside,4,1.0,10,2,708,4,18,5.7,1%,99%,2853.3,11.9%,5.2%,5.2%,5.2%,5.2%,0.0%
100,Outside,5,1.0,10,2,687,3,14,7.2,1%,99%,2419.9,3.2%,1.3%,1.3%,0.9%,0.7%,0.0%
100,Outside,6,1.0,10,2,743,3,14,6.9,2%,98%,3544.9,9.7%,1.6%,1.6%,1.6%,1.6%,0.3%
100,Outside,7,1.0,10,2,742,4,15,5.7,0%,100%,1467.1,7.5%,0.7%,0.7%,0.0%,0.0%,0.0%
100,Outside,8,1.0,10,2,710,4,15,6.6,4%,96%,2167.2,5.8%,1.0%,1.0%,1.0%,0.0%,0.0%
100,Outside,9,1.0,10,2,762,4,17,5.8,1%,99%,581.6,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%
100,Outside,10,1.0,10,2,716,3,15,6.1,9%,91%,73.0,6.0%,0.0%,0.0%,0.0%,0.0%,0.0%
